Time (ns),Native contact,Rg (nm),RMSD (nm)
60,3.59E-01,1.58832,0.7852969
60.1,3.73E-01,1.58921,0.7805013
60.2,3.86E-01,1.55735,0.7254953
60.3,3.92E-01,1.55612,0.697391
60.4,3.95E-01,1.55383,0.7005686
60.5,3.98E-01,1.56627,0.7702706
60.6,4.08E-01,1.55802,0.7020602
60.7,3.89E-01,1.53475,0.7287459
60.8,3.84E-01,1.53578,0.7354769
60.9,4.07E-01,1.55748,0.7188837
61,3.94E-01,1.56641,0.688976
61.1,3.90E-01,1.55356,0.7034106
61.2,3.98E-01,1.55781,0.7437901
61.3,4.01E-01,1.52662,0.706989
61.4,3.88E-01,1.55013,0.7396543
61.5,3.91E-01,1.53983,0.6765678
61.6,3.95E-01,1.55643,0.6792938
61.7,3.92E-01,1.59548,0.7297869
61.8,4.01E-01,1.5772,0.7123209
61.9,4.17E-01,1.60005,0.7846323
62,3.86E-01,1.58179,0.7655082
62.1,3.99E-01,1.56599,0.7185556
62.2,3.81E-01,1.60449,0.7702269
62.3,3.97E-01,1.61155,0.7322081
62.4,3.89E-01,1.66836,0.7713169
62.5,3.94E-01,1.65287,0.7950984
62.6,4.09E-01,1.61049,0.715258
62.7,4.17E-01,1.57889,0.6981705
62.8,4.38E-01,1.59385,0.7479978
62.9,4.25E-01,1.59015,0.7313251
63,4.43E-01,1.57142,0.7486403
63.1,4.36E-01,1.55891,0.6722649
63.2,4.12E-01,1.58203,0.7295208
63.3,4.12E-01,1.55488,0.6617655
63.4,4.11E-01,1.55106,0.6765825
63.5,4.19E-01,1.51318,0.5855897
63.6,4.49E-01,1.51715,0.5607507
63.7,4.41E-01,1.49735,0.5449397
63.8,4.09E-01,1.5227,0.6485956
