Time (ns),Native contact,Rg (nm),RMSD (nm)
34.6,5.64E-01,1.25984,0.4743448
34.7,5.59E-01,1.2565,0.4563284
34.8,5.66E-01,1.25968,0.4821313
34.9,5.71E-01,1.25118,0.5051553
35,5.45E-01,1.26724,0.4747868
35.1,5.46E-01,1.25859,0.4741895
35.2,5.64E-01,1.26019,0.4756721
35.3,5.81E-01,1.26301,0.4391838
35.4,5.76E-01,1.26106,0.462175
35.5,5.84E-01,1.2521,0.4363265
35.6,5.65E-01,1.27049,0.4450078
35.7,5.72E-01,1.27574,0.4808215
35.8,5.73E-01,1.26232,0.4720267
35.9,5.79E-01,1.25754,0.4679705
36,5.61E-01,1.26129,0.4560222
36.1,5.77E-01,1.27448,0.4482404
36.2,5.48E-01,1.2496,0.4511358
36.3,5.70E-01,1.26586,0.4626707
36.4,5.69E-01,1.27919,0.4505055
36.5,5.84E-01,1.25488,0.4358217
36.6,6.00E-01,1.27165,0.4466624
36.7,5.95E-01,1.26951,0.4972395
36.8,6.03E-01,1.24014,0.4933403
36.9,6.00E-01,1.24417,0.4460618
37,5.77E-01,1.26528,0.4831504
37.1,5.81E-01,1.27314,0.4623239
37.2,5.67E-01,1.28221,0.48857
37.3,5.53E-01,1.28232,0.4910994
37.4,5.84E-01,1.25883,0.4535088
37.5,5.66E-01,1.27241,0.4937267
37.6,5.51E-01,1.29359,0.483073
37.7,5.54E-01,1.2616,0.4755965
37.8,5.51E-01,1.27967,0.5119939
37.9,5.48E-01,1.27851,0.5296768
38,5.51E-01,1.28611,0.481566
38.1,5.45E-01,1.27782,0.5284057
38.2,5.44E-01,1.27918,0.5241071
38.3,5.83E-01,1.27471,0.5262541
38.4,5.65E-01,1.27203,0.540682
38.5,5.06E-01,1.29224,0.5442057
38.6,5.72E-01,1.25495,0.5343699
38.7,5.47E-01,1.25401,0.5182747
38.8,5.43E-01,1.27245,0.5233952
38.9,5.41E-01,1.27067,0.5134146
39,5.11E-01,1.27412,0.5150046
39.1,5.36E-01,1.28992,0.5511958
39.2,5.47E-01,1.28487,0.550933
39.3,5.71E-01,1.27752,0.5596211
39.4,5.23E-01,1.28641,0.5641398
39.5,5.44E-01,1.28524,0.5315431
39.6,5.46E-01,1.26654,0.5539734
39.7,5.23E-01,1.26665,0.5488065
39.8,5.12E-01,1.2557,0.5552853
39.9,5.43E-01,1.23675,0.542721
40,5.36E-01,1.24463,0.5010802
40.1,5.19E-01,1.25949,0.5354339
40.2,5.09E-01,1.27901,0.5230433
40.3,5.12E-01,1.29016,0.540317
40.4,5.13E-01,1.28435,0.5391677
40.5,5.21E-01,1.26135,0.554874
40.6,4.98E-01,1.29981,0.6325919
40.7,4.79E-01,1.28682,0.6013536
40.8,4.72E-01,1.30198,0.5395377
40.9,4.76E-01,1.31412,0.5587542
41,4.79E-01,1.32359,0.4797858
41.1,4.88E-01,1.30563,0.4729317
41.2,4.76E-01,1.32696,0.509593
41.3,4.59E-01,1.33135,0.4922451
41.4,5.20E-01,1.32584,0.4312975
41.5,5.41E-01,1.30434,0.4516555
41.6,5.20E-01,1.30371,0.3918627
41.7,5.34E-01,1.33087,0.4461209
41.8,5.56E-01,1.31147,0.4167742
41.9,5.17E-01,1.35488,0.4124691
42,5.04E-01,1.33714,0.4452981
42.1,5.23E-01,1.2883,0.4055448
42.2,5.26E-01,1.30233,0.4768701
42.3,5.25E-01,1.33313,0.4619622
42.4,5.13E-01,1.31754,0.4960322
42.5,5.17E-01,1.2905,0.4834572
42.6,4.89E-01,1.2905,0.5466773
42.7,5.15E-01,1.32744,0.5441082
42.8,4.89E-01,1.33689,0.5667145
42.9,4.57E-01,1.37162,0.6640121
43,4.47E-01,1.37093,0.6088065
43.1,4.51E-01,1.37387,0.6875677
43.2,4.75E-01,1.35079,0.6228876
43.3,4.55E-01,1.34081,0.603283
43.4,4.62E-01,1.36711,0.6528757
43.5,4.51E-01,1.38752,0.6936148
43.6,4.48E-01,1.44144,0.8141322
43.7,4.56E-01,1.38152,0.8212348
43.8,4.88E-01,1.40621,0.8746402
43.9,4.86E-01,1.38372,0.9198853
44,4.94E-01,1.39442,0.901095
44.1,5.07E-01,1.374,0.8383763
44.2,5.38E-01,1.38244,0.8579196
44.3,5.09E-01,1.35315,0.9099063
44.4,5.06E-01,1.3713,0.8818275
44.5,5.32E-01,1.37053,0.8484845
44.6,5.18E-01,1.36001,0.8516924
44.7,5.31E-01,1.39637,0.879735
44.8,5.23E-01,1.39774,0.7907821
44.9,5.16E-01,1.41516,0.8629022
45,5.03E-01,1.41022,0.7848318
45.1,5.05E-01,1.36758,0.7958977
45.2,4.92E-01,1.41919,0.764232
45.3,4.90E-01,1.40564,0.7785552
45.4,5.17E-01,1.40624,0.8376963
45.5,5.02E-01,1.42853,0.7665517
45.6,5.36E-01,1.39082,0.7466993
45.7,5.15E-01,1.42727,0.7923415
45.8,5.47E-01,1.41269,0.775924
45.9,5.14E-01,1.43681,0.7673673
46,5.14E-01,1.44057,0.7791297
46.1,5.19E-01,1.42758,0.8196567
46.2,5.50E-01,1.3856,0.7250785
46.3,5.30E-01,1.45284,0.8322693
46.4,5.45E-01,1.40002,0.8005818
46.5,5.17E-01,1.41968,0.8133512
46.6,4.86E-01,1.40175,0.718008
46.7,4.68E-01,1.43725,0.7778301
46.8,5.03E-01,1.44018,0.7573819
46.9,5.07E-01,1.40231,0.7714037
47,5.02E-01,1.3839,0.6800266
47.1,5.01E-01,1.35054,0.697798
47.2,5.09E-01,1.37478,0.6650559
47.3,4.79E-01,1.37094,0.637592
47.4,5.08E-01,1.37616,0.694213
47.5,4.86E-01,1.3944,0.6749945
47.6,4.66E-01,1.37857,0.6268702
47.7,5.01E-01,1.3738,0.6605867
47.8,5.10E-01,1.36606,0.6730629
47.9,4.66E-01,1.37607,0.5939337
48,4.45E-01,1.35886,0.7037688
48.1,4.96E-01,1.37246,0.6174277
48.2,5.01E-01,1.34941,0.6930372
48.3,4.84E-01,1.41214,0.8099696
48.4,4.94E-01,1.37521,0.7323614
48.5,5.08E-01,1.38204,0.739228
48.6,4.93E-01,1.38242,0.7521772
48.7,5.07E-01,1.32831,0.6284608
48.8,4.97E-01,1.38177,0.6847793
48.9,5.10E-01,1.38753,0.6663008
49,5.02E-01,1.37707,0.7648994
49.1,5.05E-01,1.37651,0.7513615
49.2,5.35E-01,1.35039,0.7319158
