Time (ns),Native contact,Rg (nm),RMSD (nm)
60.1,3.13E-01,1.29545,0.8063021
60.2,3.52E-01,1.28796,0.735858
60.3,3.28E-01,1.2627,0.7406721
60.4,3.10E-01,1.29503,0.7856947
60.5,2.94E-01,1.31057,0.7626526
60.6,3.45E-01,1.26229,0.7498482
60.7,3.11E-01,1.28172,0.7883533
60.8,2.98E-01,1.33604,0.77492
60.9,2.48E-01,1.3939,0.7459991
61,2.47E-01,1.37936,0.7959601
61.1,2.62E-01,1.36853,0.8273342
61.2,2.77E-01,1.38333,0.7601429
61.3,2.36E-01,1.43683,0.7854161
61.4,2.75E-01,1.37468,0.7928177
61.5,2.74E-01,1.39676,0.8563184
61.6,2.84E-01,1.3912,0.7506137
61.7,2.69E-01,1.40277,0.7155283
61.8,2.70E-01,1.41772,0.7543052
61.9,2.52E-01,1.43722,0.7765279
62,2.84E-01,1.41119,0.8216467
62.1,2.84E-01,1.39645,0.8967707
62.2,2.98E-01,1.42851,0.9190472
62.3,2.67E-01,1.40868,0.90643
62.4,2.44E-01,1.41503,1.0025864
62.5,2.96E-01,1.41813,0.9426644
62.6,2.71E-01,1.44999,0.9553514
62.7,2.91E-01,1.38568,0.9535739
62.8,2.84E-01,1.4336,0.9097209
62.9,3.19E-01,1.49047,0.8907681
63,2.97E-01,1.54358,0.9392729
63.1,2.97E-01,1.59402,0.9078475
63.2,3.04E-01,1.59167,0.9927239
63.3,3.12E-01,1.65116,1.1038948
63.4,3.25E-01,1.66081,1.1013274
63.5,2.66E-01,1.66033,1.0518098
63.6,2.47E-01,1.60838,1.0033978
63.7,2.84E-01,1.53952,0.8884671
