Time (ns),Native contact,Rg (nm),RMSD (nm)
46.7,5.82E-01,1.3518,0.5972101
46.8,5.77E-01,1.33439,0.6048672
46.9,5.44E-01,1.35397,0.5940252
47,5.78E-01,1.37011,0.6112556
47.1,5.82E-01,1.35748,0.6100944
47.2,5.69E-01,1.34967,0.5810675
47.3,5.61E-01,1.37665,0.5783848
47.4,5.44E-01,1.35112,0.6055256
47.5,5.57E-01,1.36264,0.6184817
47.6,5.53E-01,1.36226,0.6120943
47.7,5.56E-01,1.35783,0.6085054
47.8,5.76E-01,1.35795,0.6030708
47.9,5.81E-01,1.34698,0.5741984
48,5.79E-01,1.35138,0.603562
48.1,5.72E-01,1.35105,0.5949115
48.2,5.61E-01,1.34773,0.6063961
48.3,5.44E-01,1.37641,0.6088852
48.4,5.69E-01,1.34294,0.5839936
48.5,5.58E-01,1.3617,0.5797584
48.6,5.48E-01,1.36799,0.6081818
48.7,5.51E-01,1.38201,0.6097545
48.8,5.49E-01,1.3612,0.5961305
48.9,5.51E-01,1.37722,0.635405
49,5.71E-01,1.36132,0.560028
49.1,5.76E-01,1.38184,0.5810179
49.2,5.76E-01,1.3938,0.5845689
49.3,5.44E-01,1.39136,0.6044676
49.4,5.49E-01,1.38326,0.6180247
49.5,5.40E-01,1.35925,0.5723388
49.6,5.72E-01,1.3696,0.5757646
49.7,5.52E-01,1.38161,0.5704204
49.8,5.33E-01,1.37484,0.6021037
49.9,5.55E-01,1.36876,0.6160297
50,5.51E-01,1.36958,0.6117664
50.1,5.37E-01,1.36447,0.643463
50.2,5.59E-01,1.37468,0.6211315
50.3,5.66E-01,1.36891,0.5932748
50.4,5.72E-01,1.36361,0.6203587
50.5,5.64E-01,1.36182,0.587055
50.6,5.74E-01,1.37327,0.5964862
50.7,5.73E-01,1.37052,0.5704049
50.8,5.65E-01,1.36617,0.5925507
50.9,5.42E-01,1.36908,0.6304502
51,5.46E-01,1.37161,0.6012664
51.1,5.61E-01,1.37633,0.6113589
51.2,5.54E-01,1.38809,0.6137476
51.3,5.62E-01,1.39307,0.6414121
51.4,5.49E-01,1.41851,0.6985353
51.5,5.40E-01,1.40556,0.635912
51.6,5.24E-01,1.42925,0.6611172
51.7,5.25E-01,1.43536,0.6985167
51.8,5.28E-01,1.45039,0.6504356
51.9,5.30E-01,1.44618,0.7154679
52,5.46E-01,1.40829,0.6395704
52.1,5.00E-01,1.42563,0.6729101
52.2,5.52E-01,1.42501,0.6378544
52.3,5.71E-01,1.4135,0.6160412
52.4,5.72E-01,1.41759,0.6356827
52.5,5.61E-01,1.4371,0.6496982
52.6,5.75E-01,1.40509,0.587669
52.7,5.91E-01,1.38488,0.5657019
52.8,5.89E-01,1.38531,0.5593792
52.9,5.65E-01,1.42616,0.6127786
53,5.62E-01,1.42364,0.6214825
53.1,5.39E-01,1.43297,0.5806987
53.2,5.29E-01,1.41947,0.5842638
53.3,5.20E-01,1.40142,0.5664418
53.4,5.46E-01,1.39501,0.5674431
53.5,5.33E-01,1.41274,0.5752635
53.6,5.46E-01,1.41643,0.5694218
53.7,5.49E-01,1.43857,0.5619931
53.8,5.31E-01,1.40849,0.5465492
53.9,5.36E-01,1.41607,0.5682012
54,5.31E-01,1.438,0.5867305
54.1,5.50E-01,1.4303,0.6053343
54.2,5.22E-01,1.43832,0.6023221
54.3,5.13E-01,1.43236,0.6192443
54.4,4.80E-01,1.44134,0.6072286
54.5,4.84E-01,1.45852,0.6811644
54.6,4.55E-01,1.48429,0.7110161
