Time (ns),Native contact,Rg (nm),RMSD (nm)
58.7,1.16E-01,1.34365,1.4588733
58.8,1.39E-01,1.31906,1.3868132
58.9,1.07E-01,1.33078,1.32649
59,9.88E-02,1.31464,1.2837415
59.1,9.94E-02,1.31844,1.3572246
59.2,1.29E-01,1.30826,1.3990467
59.3,1.16E-01,1.44418,1.5364774
59.4,1.42E-01,1.40535,1.3899741
59.5,1.43E-01,1.41548,1.4650254
59.6,1.36E-01,1.32163,1.4339513
59.7,1.34E-01,1.36807,1.522311
59.8,1.34E-01,1.37813,1.5387945
59.9,1.27E-01,1.26778,1.4304287
60,1.44E-01,1.34024,1.5135286
60.1,1.38E-01,1.337,1.4946213
60.2,1.15E-01,1.35202,1.4743987
60.3,1.20E-01,1.41362,1.5160267
60.4,1.27E-01,1.45735,1.6326532
60.5,1.26E-01,1.48091,1.6467799
60.6,1.26E-01,1.43384,1.5290056
60.7,1.57E-01,1.49461,1.6175829
60.8,1.28E-01,1.5438,1.6443915
60.9,1.42E-01,1.59161,1.6977142
61,1.50E-01,1.55235,1.6937976
61.1,1.34E-01,1.51864,1.6654857
61.2,1.26E-01,1.58281,1.6702328
61.3,1.20E-01,1.50776,1.6205162
61.4,1.29E-01,1.53835,1.6216938
61.5,1.38E-01,1.51478,1.5603219
61.6,1.27E-01,1.53807,1.5899657
61.7,1.16E-01,1.51065,1.5750488
61.8,1.26E-01,1.52139,1.5653485
61.9,1.08E-01,1.46922,1.5827634
62,1.04E-01,1.45594,1.584255
62.1,1.11E-01,1.51173,1.6219558
62.2,1.04E-01,1.49787,1.5974498
62.3,1.11E-01,1.48242,1.5623231
62.4,1.15E-01,1.38288,1.4672927
62.5,1.16E-01,1.40384,1.5234679
62.6,1.13E-01,1.45752,1.5403039
62.7,1.27E-01,1.4231,1.5382205
62.8,1.32E-01,1.41863,1.514142
62.9,1.34E-01,1.37754,1.5542066
63,1.40E-01,1.36004,1.512889
63.1,1.16E-01,1.31057,1.4569991
63.2,1.28E-01,1.39481,1.5071622
63.3,1.22E-01,1.42216,1.4740375
63.4,1.01E-01,1.36402,1.5301536
63.5,1.31E-01,1.2912,1.4166883
63.6,1.12E-01,1.35125,1.4712502
63.7,9.49E-02,1.27936,1.3946291
63.8,1.11E-01,1.31177,1.3975033
